Source,Target,Kind,Type,Id,Label,Weight
1,7,all,Directed,895,,2868
7,1,all,Directed,896,,2537
1,2,all,Directed,897,,9544
2,1,all,Directed,898,,8392
1,5,all,Directed,899,,3833
5,1,all,Directed,900,,3419
5,2,all,Directed,901,,215
5,4,all,Directed,902,,32
4,1,all,Directed,903,,1061
1,11,all,Directed,904,,3577
11,1,all,Directed,905,,3446
1,3,all,Directed,906,,1928
3,1,all,Directed,907,,1775
1,4,all,Directed,908,,1162
15,1,all,Directed,909,,1005
1,19,all,Directed,910,,263
19,1,all,Directed,911,,267
6,1,all,Directed,912,,254
10,1,all,Directed,913,,598
17,1,all,Directed,914,,403
1,8,all,Directed,915,,1095
8,1,all,Directed,916,,1309
1,20,all,Directed,917,,172
20,1,all,Directed,918,,155
49,1,all,Directed,919,,143
16,1,all,Directed,920,,1160
1,10,all,Directed,921,,44
56,1,all,Directed,922,,3
16,22,all,Directed,923,,39
22,1,all,Directed,924,,74
1,9,all,Directed,925,,218
9,1,all,Directed,926,,198
97,1,all,Directed,927,,1
15,7,all,Directed,928,,9
1,12,all,Directed,929,,143
12,1,all,Directed,930,,491
2,7,all,Directed,931,,37
1,14,all,Directed,932,,207
14,1,all,Directed,933,,228
2,5,all,Directed,934,,177
5,13,all,Directed,935,,7
13,1,all,Directed,936,,841
11,4,all,Directed,937,,44
1,13,all,Directed,938,,721
5,12,all,Directed,939,,2
19,4,all,Directed,940,,6
57,1,all,Directed,941,,11
2,4,all,Directed,942,,71
48,1,all,Directed,943,,8
2,6,all,Directed,944,,7
1,16,all,Directed,945,,367
93,1,all,Directed,946,,5
31,1,all,Directed,947,,18
55,1,all,Directed,948,,62
43,1,all,Directed,949,,55
28,1,all,Directed,950,,60
1,23,all,Directed,951,,28
23,1,all,Directed,952,,24
7,2,all,Directed,953,,56
13,8,all,Directed,954,,12
69,1,all,Directed,955,,31
1,6,all,Directed,956,,42
11,2,all,Directed,957,,110
14,2,all,Directed,958,,13
37,1,all,Directed,959,,5
52,1,all,Directed,960,,20
5,8,all,Directed,961,,10
19,24,all,Directed,962,,2
23,3,all,Directed,963,,2
64,1,all,Directed,964,,20
53,1,all,Directed,965,,34
2,13,all,Directed,966,,12
32,1,all,Directed,967,,60
51,1,all,Directed,968,,27
2,16,all,Directed,969,,12
16,2,all,Directed,970,,87
7,8,all,Directed,971,,10
77,1,all,Directed,972,,4
1,21,all,Directed,973,,89
21,1,all,Directed,974,,90
1,22,all,Directed,975,,20
11,3,all,Directed,976,,31
1,24,all,Directed,977,,75
24,1,all,Directed,978,,78
1,17,all,Directed,979,,74
38,1,all,Directed,980,,23
27,1,all,Directed,981,,68
81,1,all,Directed,982,,7
4,11,all,Directed,983,,10
45,1,all,Directed,984,,13
36,1,all,Directed,985,,8
26,1,all,Directed,986,,18
42,8,all,Directed,987,,2
5,3,all,Directed,988,,61
8,5,all,Directed,989,,26
33,1,all,Directed,990,,21
18,1,all,Directed,991,,158
59,1,all,Directed,992,,31
5,14,all,Directed,993,,10
6,5,all,Directed,994,,7
5,6,all,Directed,995,,3
6,11,all,Directed,996,,9
6,12,all,Directed,997,,2
7,12,all,Directed,998,,3
10,2,all,Directed,999,,24
18,2,all,Directed,1000,,12
27,16,all,Directed,1001,,2
10,11,all,Directed,1002,,8
112,1,all,Directed,1003,,1
70,1,all,Directed,1004,,5
40,10,all,Directed,1005,,1
66,1,all,Directed,1006,,8
7,3,all,Directed,1007,,28
7,13,all,Directed,1008,,13
12,2,all,Directed,1009,,34
5,24,all,Directed,1010,,2
13,11,all,Directed,1011,,20
54,1,all,Directed,1012,,18
1,18,all,Directed,1013,,21
8,11,all,Directed,1014,,15
7,16,all,Directed,1015,,15
29,2,all,Directed,1016,,7
13,2,all,Directed,1017,,19
8,2,all,Directed,1018,,49
92,2,all,Directed,1019,,6
49,2,all,Directed,1020,,3
14,7,all,Directed,1021,,6
51,11,all,Directed,1022,,1
7,11,all,Directed,1023,,21
11,7,all,Directed,1024,,24
5,11,all,Directed,1025,,35
15,11,all,Directed,1026,,3
18,7,all,Directed,1027,,8
13,7,all,Directed,1028,,9
53,7,all,Directed,1029,,2
17,18,all,Directed,1030,,36
7,18,all,Directed,1031,,3
16,14,all,Directed,1032,,1
15,2,all,Directed,1033,,15
51,5,all,Directed,1034,,4
3,7,all,Directed,1035,,36
16,7,all,Directed,1036,,44
12,7,all,Directed,1037,,20
7,5,all,Directed,1038,,28
17,7,all,Directed,1039,,43
16,21,all,Directed,1040,,3
21,2,all,Directed,1041,,6
16,5,all,Directed,1042,,16
8,3,all,Directed,1043,,8
10,17,all,Directed,1044,,1
18,17,all,Directed,1045,,5
49,16,all,Directed,1046,,3
16,19,all,Directed,1047,,4
16,11,all,Directed,1048,,24
3,2,all,Directed,1049,,42
2,3,all,Directed,1050,,44
3,5,all,Directed,1051,,67
25,3,all,Directed,1052,,15
12,9,all,Directed,1053,,2
9,12,all,Directed,1054,,1
37,5,all,Directed,1055,,1
44,5,all,Directed,1056,,4
19,7,all,Directed,1057,,1
5,7,all,Directed,1058,,23
42,11,all,Directed,1059,,2
10,7,all,Directed,1060,,22
20,2,all,Directed,1061,,13
4,2,all,Directed,1062,,56
67,5,all,Directed,1063,,2
12,5,all,Directed,1064,,9
19,2,all,Directed,1065,,12
3,11,all,Directed,1066,,15
4,20,all,Directed,1067,,3
20,4,all,Directed,1068,,2
37,11,all,Directed,1069,,2
11,12,all,Directed,1070,,3
32,2,all,Directed,1071,,17
46,2,all,Directed,1072,,3
63,11,all,Directed,1073,,9
14,3,all,Directed,1074,,5
8,21,all,Directed,1075,,1
41,4,all,Directed,1076,,2
45,11,all,Directed,1077,,12
7,22,all,Directed,1078,,2
117,11,all,Directed,1079,,1
5,16,all,Directed,1080,,3
25,1,all,Directed,1081,,39
68,1,all,Directed,1082,,15
29,1,all,Directed,1083,,30
69,2,all,Directed,1084,,2
2,11,all,Directed,1085,,43
46,1,all,Directed,1086,,5
7,14,all,Directed,1087,,2
63,1,all,Directed,1088,,8
79,1,all,Directed,1089,,12
40,1,all,Directed,1090,,5
5,21,all,Directed,1091,,3
14,5,all,Directed,1092,,8
130,17,all,Directed,1093,,1
17,2,all,Directed,1094,,4
6,16,all,Directed,1095,,9
67,1,all,Directed,1096,,16
1,15,all,Directed,1097,,15
102,1,all,Directed,1098,,3
11,8,all,Directed,1099,,11
36,2,all,Directed,1100,,5
6,7,all,Directed,1101,,9
27,7,all,Directed,1102,,2
90,1,all,Directed,1103,,1
2,24,all,Directed,1104,,3
6,2,all,Directed,1105,,11
104,1,all,Directed,1106,,2
9,2,all,Directed,1107,,9
3,9,all,Directed,1108,,1
54,16,all,Directed,1109,,1
43,11,all,Directed,1110,,4
134,1,all,Directed,1111,,1
53,2,all,Directed,1112,,2
89,2,all,Directed,1113,,2
3,8,all,Directed,1114,,6
11,16,all,Directed,1115,,4
8,7,all,Directed,1116,,9
33,7,all,Directed,1117,,1
47,4,all,Directed,1118,,1
7,6,all,Directed,1119,,3
71,17,all,Directed,1120,,1
17,3,all,Directed,1121,,4
2,23,all,Directed,1122,,3
19,5,all,Directed,1123,,8
5,19,all,Directed,1124,,6
19,3,all,Directed,1125,,3
18,3,all,Directed,1126,,4
18,11,all,Directed,1127,,4
12,18,all,Directed,1128,,1
10,12,all,Directed,1129,,4
12,8,all,Directed,1130,,7
4,5,all,Directed,1131,,16
49,19,all,Directed,1132,,1
11,5,all,Directed,1133,,38
24,2,all,Directed,1134,,11
11,14,all,Directed,1135,,4
8,16,all,Directed,1136,,1
2,12,all,Directed,1137,,5
12,11,all,Directed,1138,,9
8,12,all,Directed,1139,,1
27,2,all,Directed,1140,,7
27,14,all,Directed,1141,,2
16,9,all,Directed,1142,,1
9,8,all,Directed,1143,,1
16,3,all,Directed,1144,,4
16,12,all,Directed,1145,,4
16,13,all,Directed,1146,,4
16,4,all,Directed,1147,,5
28,4,all,Directed,1148,,3
28,3,all,Directed,1149,,1
29,11,all,Directed,1150,,3
3,4,all,Directed,1151,,2
4,3,all,Directed,1152,,5
3,24,all,Directed,1153,,2
4,8,all,Directed,1154,,7
7,20,all,Directed,1155,,2
2,14,all,Directed,1156,,9
3,14,all,Directed,1157,,7
19,8,all,Directed,1158,,3
2,19,all,Directed,1159,,3
2,20,all,Directed,1160,,14
2,8,all,Directed,1161,,25
23,2,all,Directed,1162,,3
4,14,all,Directed,1163,,2
7,4,all,Directed,1164,,3
20,11,all,Directed,1165,,1
11,20,all,Directed,1166,,4
13,3,all,Directed,1167,,9
3,13,all,Directed,1168,,3
5,20,all,Directed,1169,,11
14,11,all,Directed,1170,,3
13,5,all,Directed,1171,,13
19,11,all,Directed,1172,,11
3,16,all,Directed,1173,,3
9,5,all,Directed,1174,,3
13,12,all,Directed,1175,,2
25,2,all,Directed,1176,,1
21,14,all,Directed,1177,,2
11,19,all,Directed,1178,,7
24,8,all,Directed,1179,,4
11,13,all,Directed,1180,,9
12,4,all,Directed,1181,,2
12,24,all,Directed,1182,,1
12,19,all,Directed,1183,,2
16,6,all,Directed,1184,,6
28,2,all,Directed,1185,,5
12,21,all,Directed,1186,,2
7,19,all,Directed,1187,,6
8,20,all,Directed,1188,,1
30,19,all,Directed,1189,,1
30,4,all,Directed,1190,,1
10,18,all,Directed,1191,,4
10,5,all,Directed,1192,,5
5,10,all,Directed,1193,,4
10,9,all,Directed,1194,,2
9,14,all,Directed,1195,,2
18,5,all,Directed,1196,,8
7,10,all,Directed,1197,,7
10,8,all,Directed,1198,,2
18,19,all,Directed,1199,,1
18,16,all,Directed,1200,,1
18,14,all,Directed,1201,,2
11,18,all,Directed,1202,,1
15,12,all,Directed,1203,,7
15,13,all,Directed,1204,,2
15,5,all,Directed,1205,,6
15,8,all,Directed,1206,,1
8,14,all,Directed,1207,,3
16,8,all,Directed,1208,,7
17,19,all,Directed,1209,,2
17,16,all,Directed,1210,,2
17,11,all,Directed,1211,,3
7,21,all,Directed,1212,,3
7,17,all,Directed,1213,,8
7,9,all,Directed,1214,,2
9,7,all,Directed,1215,,2
32,3,all,Directed,1216,,1
15,16,all,Directed,1217,,3
13,16,all,Directed,1218,,3
8,4,all,Directed,1219,,3
8,13,all,Directed,1220,,4
16,24,all,Directed,1221,,1
34,2,all,Directed,1222,,1
20,5,all,Directed,1223,,7
35,1,all,Directed,1224,,8
4,24,all,Directed,1225,,1
21,3,all,Directed,1226,,1
4,7,all,Directed,1227,,2
6,17,all,Directed,1228,,1
6,8,all,Directed,1229,,3
6,13,all,Directed,1230,,1
6,4,all,Directed,1231,,2
6,19,all,Directed,1232,,1
6,22,all,Directed,1233,,1
11,6,all,Directed,1234,,3
22,7,all,Directed,1235,,1
38,7,all,Directed,1236,,2
32,5,all,Directed,1237,,6
32,4,all,Directed,1238,,7
32,8,all,Directed,1239,,2
39,1,all,Directed,1240,,5
11,21,all,Directed,1241,,2
5,9,all,Directed,1242,,2
11,10,all,Directed,1243,,1
10,14,all,Directed,1244,,1
41,3,all,Directed,1245,,1
20,13,all,Directed,1246,,1
24,11,all,Directed,1247,,3
42,1,all,Directed,1248,,10
44,2,all,Directed,1249,,4
44,11,all,Directed,1250,,2
44,7,all,Directed,1251,,1
44,1,all,Directed,1252,,10
45,6,all,Directed,1253,,1
47,1,all,Directed,1254,,2
47,16,all,Directed,1255,,2
47,2,all,Directed,1256,,1
47,8,all,Directed,1257,,1
47,5,all,Directed,1258,,1
50,11,all,Directed,1259,,2
52,2,all,Directed,1260,,2
42,2,all,Directed,1261,,4
32,7,all,Directed,1262,,2
54,11,all,Directed,1263,,1
54,2,all,Directed,1264,,2
54,6,all,Directed,1265,,1
54,5,all,Directed,1266,,1
55,3,all,Directed,1267,,15
56,8,all,Directed,1268,,1
21,19,all,Directed,1269,,1
22,16,all,Directed,1270,,3
4,10,all,Directed,1271,,1
14,19,all,Directed,1272,,2
49,9,all,Directed,1273,,1
49,7,all,Directed,1274,,1
49,12,all,Directed,1275,,1
10,3,all,Directed,1276,,1
49,10,all,Directed,1277,,1
49,8,all,Directed,1278,,1
55,5,all,Directed,1279,,1
10,16,all,Directed,1280,,5
8,17,all,Directed,1281,,1
17,8,all,Directed,1282,,1
12,16,all,Directed,1283,,2
3,17,all,Directed,1284,,1
25,5,all,Directed,1285,,1
32,24,all,Directed,1286,,1
57,7,all,Directed,1287,,3
58,1,all,Directed,1288,,1
58,2,all,Directed,1289,,3
60,1,all,Directed,1290,,1
26,5,all,Directed,1291,,1
61,1,all,Directed,1292,,13
33,11,all,Directed,1293,,1
33,2,all,Directed,1294,,1
24,4,all,Directed,1295,,2
62,5,all,Directed,1296,,3
14,4,all,Directed,1297,,1
13,14,all,Directed,1298,,3
6,23,all,Directed,1299,,1
23,6,all,Directed,1300,,1
29,7,all,Directed,1301,,3
29,5,all,Directed,1302,,4
62,11,all,Directed,1303,,1
62,1,all,Directed,1304,,4
62,8,all,Directed,1305,,1
67,2,all,Directed,1306,,4
59,2,all,Directed,1307,,1
59,8,all,Directed,1308,,1
59,7,all,Directed,1309,,1
14,21,all,Directed,1310,,1
68,2,all,Directed,1311,,2
68,11,all,Directed,1312,,1
24,20,all,Directed,1313,,1
41,1,all,Directed,1314,,10
41,2,all,Directed,1315,,1
7,15,all,Directed,1316,,1
43,2,all,Directed,1317,,3
43,4,all,Directed,1318,,1
43,5,all,Directed,1319,,2
65,11,all,Directed,1320,,7
31,2,all,Directed,1321,,2
71,1,all,Directed,1322,,16
71,3,all,Directed,1323,,2
13,4,all,Directed,1324,,3
51,2,all,Directed,1325,,4
39,5,all,Directed,1326,,1
72,1,all,Directed,1327,,7
72,11,all,Directed,1328,,1
73,1,all,Directed,1329,,1
74,5,all,Directed,1330,,1
8,23,all,Directed,1331,,1
75,1,all,Directed,1332,,6
10,19,all,Directed,1333,,1
36,11,all,Directed,1334,,1
4,18,all,Directed,1335,,1
66,8,all,Directed,1336,,1
11,24,all,Directed,1337,,2
19,12,all,Directed,1338,,1
76,2,all,Directed,1339,,1
76,1,all,Directed,1340,,1
29,8,all,Directed,1341,,1
29,4,all,Directed,1342,,1
78,1,all,Directed,1343,,1
23,24,all,Directed,1344,,1
21,20,all,Directed,1345,,1
23,9,all,Directed,1346,,1
23,11,all,Directed,1347,,1
23,21,all,Directed,1348,,1
41,11,all,Directed,1349,,2
80,1,all,Directed,1350,,3
80,3,all,Directed,1351,,1
66,2,all,Directed,1352,,1
82,1,all,Directed,1353,,8
83,1,all,Directed,1354,,9
56,2,all,Directed,1355,,1
84,1,all,Directed,1356,,5
74,1,all,Directed,1357,,1
29,16,all,Directed,1358,,1
85,5,all,Directed,1359,,1
25,7,all,Directed,1360,,1
79,11,all,Directed,1361,,1
40,2,all,Directed,1362,,1
77,14,all,Directed,1363,,1
64,9,all,Directed,1364,,1
86,5,all,Directed,1365,,1
21,12,all,Directed,1366,,1
61,2,all,Directed,1367,,1
87,1,all,Directed,1368,,4
87,3,all,Directed,1369,,1
87,11,all,Directed,1370,,2
87,17,all,Directed,1371,,1
13,19,all,Directed,1372,,3
12,13,all,Directed,1373,,2
88,1,all,Directed,1374,,1
10,13,all,Directed,1375,,2
83,11,all,Directed,1376,,2
13,24,all,Directed,1377,,2
91,1,all,Directed,1378,,2
70,8,all,Directed,1379,,1
70,5,all,Directed,1380,,1
59,9,all,Directed,1381,,1
92,1,all,Directed,1382,,7
75,3,all,Directed,1383,,1
13,18,all,Directed,1384,,1
18,4,all,Directed,1385,,1
32,14,all,Directed,1386,,1
20,6,all,Directed,1387,,1
63,5,all,Directed,1388,,3
26,7,all,Directed,1389,,1
94,1,all,Directed,1390,,2
95,1,all,Directed,1391,,5
95,11,all,Directed,1392,,1
67,4,all,Directed,1393,,2
42,4,all,Directed,1394,,1
24,5,all,Directed,1395,,3
29,10,all,Directed,1396,,1
38,2,all,Directed,1397,,1
95,7,all,Directed,1398,,1
36,7,all,Directed,1399,,1
36,8,all,Directed,1400,,1
29,13,all,Directed,1401,,1
26,2,all,Directed,1402,,2
28,8,all,Directed,1403,,1
82,5,all,Directed,1404,,2
98,1,all,Directed,1405,,1
98,2,all,Directed,1406,,1
98,13,all,Directed,1407,,1
99,13,all,Directed,1408,,1
100,1,all,Directed,1409,,1
70,2,all,Directed,1410,,1
101,1,all,Directed,1411,,2
64,16,all,Directed,1412,,1
64,5,all,Directed,1413,,1
103,1,all,Directed,1414,,1
15,17,all,Directed,1415,,1
105,5,all,Directed,1416,,1
105,2,all,Directed,1417,,1
106,1,all,Directed,1418,,1
46,11,all,Directed,1419,,1
107,2,all,Directed,1420,,1
108,11,all,Directed,1421,,1
108,1,all,Directed,1422,,2
70,19,all,Directed,1423,,1
46,4,all,Directed,1424,,2
46,5,all,Directed,1425,,1
95,13,all,Directed,1426,,2
109,11,all,Directed,1427,,1
87,4,all,Directed,1428,,1
30,5,all,Directed,1429,,2
110,1,all,Directed,1430,,1
110,14,all,Directed,1431,,1
79,2,all,Directed,1432,,1
82,2,all,Directed,1433,,1
111,1,all,Directed,1434,,1
30,1,all,Directed,1435,,3
42,3,all,Directed,1436,,1
29,20,all,Directed,1437,,1
42,5,all,Directed,1438,,1
55,8,all,Directed,1439,,1
113,1,all,Directed,1440,,1
114,2,all,Directed,1441,,1
115,11,all,Directed,1442,,1
117,1,all,Directed,1443,,3
65,1,all,Directed,1444,,1
118,1,all,Directed,1445,,1
119,1,all,Directed,1446,,2
30,2,all,Directed,1447,,1
7,23,all,Directed,1448,,1
21,4,all,Directed,1449,,1
120,1,all,Directed,1450,,1
121,1,all,Directed,1451,,2
122,1,all,Directed,1452,,2
54,20,all,Directed,1453,,1
54,9,all,Directed,1454,,1
28,14,all,Directed,1455,,1
124,1,all,Directed,1456,,1
124,2,all,Directed,1457,,1
14,9,all,Directed,1458,,1
125,1,all,Directed,1459,,1
126,11,all,Directed,1460,,1
127,1,all,Directed,1461,,1
51,20,all,Directed,1462,,1
44,16,all,Directed,1463,,1
100,2,all,Directed,1464,,1
129,1,all,Directed,1465,,2
26,11,all,Directed,1466,,2
33,5,all,Directed,1467,,1
131,1,all,Directed,1468,,1
37,2,all,Directed,1469,,1
90,5,all,Directed,1470,,1
90,2,all,Directed,1471,,1
116,2,all,Directed,1472,,1
28,5,all,Directed,1473,,1
14,13,all,Directed,1474,,2
132,8,all,Directed,1475,,1
54,24,all,Directed,1476,,1
79,8,all,Directed,1477,,1
105,1,all,Directed,1478,,1
61,13,all,Directed,1479,,1
77,8,all,Directed,1480,,1
133,1,all,Directed,1481,,1
96,1,all,Directed,1482,,1
39,20,all,Directed,1483,,1
5,18,all,Directed,1484,,1
2,9,all,Directed,1485,,2
16,17,all,Directed,1486,,1
7,24,all,Directed,1487,,1
17,5,all,Directed,1488,,1
5,17,all,Directed,1489,,1
21,5,all,Directed,1490,,3
24,3,all,Directed,1491,,1
20,12,all,Directed,1492,,1
9,10,all,Directed,1493,,1
2,10,all,Directed,1494,,1
16,10,all,Directed,1495,,1
19,14,all,Directed,1496,,1
24,7,all,Directed,1497,,1
10,20,all,Directed,1498,,1
11,9,all,Directed,1499,,1
