Id,Label,Modularity Class,City,State,Country,Latitude,Longitude
1,"florianopolis,santa catarina,brazil",,florianopolis,santa catarina,brazil,-27.597,-48.549
2,"sao paulo,sao paulo,brazil",,sao paulo,sao paulo,brazil,-23.548,-46.636
3,"rio de janeiro,rio de janeiro,brazil",,rio de janeiro,rio de janeiro,brazil,-22.903,-43.208
4,"niteroi,rio de janeiro,brazil",,niteroi,rio de janeiro,brazil,-22.883,-43.104
5,"bauru,sao paulo,brazil",,bauru,sao paulo,brazil,-22.315,-49.061
6,"curitiba,parana,brazil",,curitiba,parana,brazil,-25.428,-49.273
7,"brasilia,federal district,brazil",,brasilia,federal district,brazil,-15.78,-47.93
8,"ilheus,bahia,brazil",,ilheus,bahia,brazil,-14.789,-39.049
9,"salvador,bahia,brazil",,salvador,bahia,brazil,-12.971,-38.511
10,"belo horizonte,minas gerais,brazil",,belo horizonte,minas gerais,brazil,-19.817,-43.956
11,"belem,para,brazil",,belem,para,brazil,-1.456,-48.504
12,"campinas,sao paulo,brazil",,campinas,sao paulo,brazil,-22.906,-47.061
13,"recife,pernambuco,brazil",,recife,pernambuco,brazil,-8.054,-34.881
14,"guarulhos,sao paulo,brazil",,guarulhos,sao paulo,brazil,-23.463,-46.533
15,"porto alegre,rio grande do sul,brazil",,porto alegre,rio grande do sul,brazil,-30.033,-51.23
16,"santa maria,rio grande do sul,brazil",,santa maria,rio grande do sul,brazil,-29.684,-53.807
17,"paris,île-de-france,france",,paris,île-de-france,france,48.85341,2.3488
18,"joao pessoa,paraiba,brazil",,joao pessoa,paraiba,brazil,-7.115,-34.863
19,"fortaleza,ceara,brazil",,fortaleza,ceara,brazil,-3.717,-38.543
20,"vicosa,minas gerais,brazil",,vicosa,minas gerais,brazil,-20.754,-42.882
21,"porto,porto,portugal",,porto,porto,portugal,41.14961,-8.61099
22,"london,england,united kingdom",,london,england,united kingdom,51.50853,-0.12574
23,"goiania,goias,brazil",,goiania,goias,brazil,-16.679,-49.254
24,"maceio,alagoas,brazil",,maceio,alagoas,brazil,-9.666,-35.735
25,"feira de santana,bahia,brazil",,feira de santana,bahia,brazil,-12.267,-38.967
26,"philadelphia,pennsylvania,united states",,philadelphia,pennsylvania,united states,39.95233,-75.16379
27,"cambridge,england,united kingdom",,cambridge,england,united kingdom,52.2,0.11667
28,"natal,rio grande do norte,brazil",,natal,rio grande do norte,brazil,-5.795,-35.209
29,"sheffield,england,united kingdom",,sheffield,england,united kingdom,53.38297,-1.4659
30,"sao jose dos campos,sao paulo,brazil",,sao jose dos campos,sao paulo,brazil,-23.179,-45.887
31,"sao luis,maranhao,brazil",,sao luis,maranhao,brazil,-2.53,-44.303
32,"manaus,amazonas,brazil",,manaus,amazonas,brazil,-3.102,-60.025
33,"maringa,parana,brazil",,maringa,parana,brazil,-23.425,-51.939
34,"aracaju,sergipe,brazil",,aracaju,sergipe,brazil,-10.911,-37.072
35,"rio branco,acre,brazil",,rio branco,acre,brazil,-9.975,-67.81
36,"gent,flanders,belgium",,gent,flanders,belgium,51.05,3.71667
37,"sao cristovao,sergipe,brazil",,sao cristovao,sergipe,brazil,-11.015,-37.206
38,"sao bernardo do campo,sao paulo,brazil",,sao bernardo do campo,sao paulo,brazil,-23.694,-46.565
39,"ponta grossa,parana,brazil",,ponta grossa,parana,brazil,-25.095,-50.162
40,"ouro preto,minas gerais,brazil",,ouro preto,minas gerais,brazil,-20.288,-43.508
41,"sao carlos,sao paulo,brazil",,sao carlos,sao paulo,brazil,-22.018,-47.891
42,"oxford,england,united kingdom",,oxford,england,united kingdom,51.75222,-1.25596
43,"campina grande,paraiba,brazil",,campina grande,paraiba,brazil,-7.231,-35.881
44,"east lansing,michigan,united states",,east lansing,michigan,united states,42.73698,-84.48387
45,"canoas,rio grande do sul,brazil",,canoas,rio grande do sul,brazil,-29.918,-51.184
46,"waterloo,ontario,canada",,waterloo,ontario,canada,43.4668,-80.51639
47,"pittsburgh,pennsylvania,united states",,pittsburgh,pennsylvania,united states,40.44062,-79.99589
48,"montes claros,minas gerais,brazil",,montes claros,minas gerais,brazil,-16.735,-43.862
49,"vancouver,british columbia,canada",,vancouver,british columbia,canada,49.24966,-123.11934
50,"evanston,illinois,united states",,evanston,illinois,united states,42.04114,-87.69006
51,"salt lake city,utah,united states",,salt lake city,utah,united states,40.76078,-111.89105
52,"faro,faro,portugal",,faro,faro,portugal,37.01937,-7.93223
53,"olinda,pernambuco,brazil",,olinda,pernambuco,brazil,-8.009,-34.855
54,"vassouras,rio de janeiro,brazil",,vassouras,rio de janeiro,brazil,-22.404,-43.663
55,"patos,paraiba,brazil",,patos,paraiba,brazil,-7.024,-37.28
56,"itaperuna,rio de janeiro,brazil",,itaperuna,rio de janeiro,brazil,-21.205,-41.888
57,"bucaramanga,santander,colombia",,bucaramanga,santander,colombia,7.12539,-73.1198
58,"lausanne,vaud,switzerland",,lausanne,vaud,switzerland,46.516,6.63282
59,"caruaru,pernambuco,brazil",,caruaru,pernambuco,brazil,-8.283,-35.976
60,"jaboatao dos guararapes,pernambuco,brazil",,jaboatao dos guararapes,pernambuco,brazil,-8.113,-35.015
61,"lavras,minas gerais,brazil",,lavras,minas gerais,brazil,-21.245,-45
62,"salamanca,madrid,spain",,salamanca,madrid,spain,40.42972,-3.67975
63,"vitoria,espirito santo,brazil",,vitoria,espirito santo,brazil,-20.319,-40.338
64,"pelotas,rio grande do sul,brazil",,pelotas,rio grande do sul,brazil,-31.772,-52.343
65,"cambridge,massachusetts,united states",,cambridge,massachusetts,united states,42.3751,-71.10561
66,"quebec,quebec,canada",,quebec,quebec,canada,46.81228,-71.21454
67,"cuiaba,mato grosso,brazil",,cuiaba,mato grosso,brazil,-15.596,-56.097
68,"joliet,illinois,united states",,joliet,illinois,united states,41.52519,-88.0834
69,"boa vista,roraima,brazil",,boa vista,roraima,brazil,2.82,-60.673
70,"macapa,amapa,brazil",,macapa,amapa,brazil,0.039,-51.066
71,"presidente prudente,sao paulo,brazil",,presidente prudente,sao paulo,brazil,-22.126,-51.389
72,"petrolina,pernambuco,brazil",,petrolina,pernambuco,brazil,-9.393,-40.508
73,"diamantina,minas gerais,brazil",,diamantina,minas gerais,brazil,-18.249,-43.6
74,"porto velho,rondonia,brazil",,porto velho,rondonia,brazil,-8.762,-63.904
75,"crato,ceara,brazil",,crato,ceara,brazil,-7.234,-39.409
76,"cruz das almas,bahia,brazil",,cruz das almas,bahia,brazil,-12.67,-39.102
77,"juazeiro do norte,ceara,brazil",,juazeiro do norte,ceara,brazil,-7.213,-39.315
78,"arapiraca,alagoas,brazil",,arapiraca,alagoas,brazil,-9.752,-36.661
79,"londrina,parana,brazil",,londrina,parana,brazil,-23.31,-51.163
80,"aveiro,aveiro,portugal",,aveiro,aveiro,portugal,40.64427,-8.64554
81,"teresina,piaui,brazil",,teresina,piaui,brazil,-5.089,-42.802
82,"copenhagen,capital region,denmark",,copenhagen,capital region,denmark,55.67594,12.56553
83,"lisbon,lisbon,portugal",,lisbon,lisbon,portugal,38.71667,-9.13333
84,"sao goncalo,rio de janeiro,brazil",,sao goncalo,rio de janeiro,brazil,-22.827,-43.054
85,"rome,latium,italy",,rome,latium,italy,41.89193,12.51133
86,"palmas,tocantins,brazil",,palmas,tocantins,brazil,-10.167,-48.333
87,"breves,para,brazil",,breves,para,brazil,-1.682,-50.48
88,"vitoria de santo antao,pernambuco,brazil",,vitoria de santo antao,pernambuco,brazil,-8.118,-35.291
89,"jequie,bahia,brazil",,jequie,bahia,brazil,-13.858,-40.084
90,"botucatu,sao paulo,brazil",,botucatu,sao paulo,brazil,-22.886,-48.445
91,"santiago,santiago,chile",,santiago,santiago,chile,-33.45694,-70.64827
92,"buenos aires,buenos aires f.d.,argentina",,buenos aires,buenos aires f.d.,argentina,-34.61315,-58.37723
93,"coimbra,coimbra,portugal",,coimbra,coimbra,portugal,40.20564,-8.41955
94,"fernandopolis,sao paulo,brazil",,fernandopolis,sao paulo,brazil,-20.284,-50.246
95,"ribeirao preto,sao paulo,brazil",,ribeirao preto,sao paulo,brazil,-21.178,-47.81
96,"rio grande,rio grande do sul,brazil",,rio grande,rio grande do sul,brazil,-32.035,-52.099
97,"cali,valle del cauca,colombia",,cali,valle del cauca,colombia,3.43722,-76.5225
98,"bogota,bogota d.c.,colombia",,bogota,bogota d.c.,colombia,4.60971,-74.08175
99,"lima,provincia de lima,peru",,lima,provincia de lima,peru,-12.04318,-77.02824
100,"cordoba,córdoba,argentina",,cordoba,córdoba,argentina,-31.4135,-64.18105
101,"santo andre,sao paulo,brazil",,santo andre,sao paulo,brazil,-23.664,-46.538
102,"nova iguacu,rio de janeiro,brazil",,nova iguacu,rio de janeiro,brazil,-22.759,-43.451
103,"araraquara,sao paulo,brazil",,araraquara,sao paulo,brazil,-21.794,-48.176
104,"mossoro,rio grande do norte,brazil",,mossoro,rio grande do norte,brazil,-5.188,-37.344
105,"santiago de cuba,santiago de cuba,cuba",,santiago de cuba,santiago de cuba,cuba,20.02472,-75.82194
106,"vitoria da conquista,bahia,brazil",,vitoria da conquista,bahia,brazil,-14.866,-40.839
107,"marseille,provence-alpes-côte d'azur,france",,marseille,provence-alpes-côte d'azur,france,43.29695,5.38107
108,"sao joao de meriti,rio de janeiro,brazil",,sao joao de meriti,rio de janeiro,brazil,-22.804,-43.372
109,"sao leopoldo,rio grande do sul,brazil",,sao leopoldo,rio grande do sul,brazil,-29.76,-51.147
110,"cachoeira do sul,rio grande do sul,brazil",,cachoeira do sul,rio grande do sul,brazil,-30.039,-52.894
111,"cachoeiro de itapemirim,espirito santo,brazil",,cachoeiro de itapemirim,espirito santo,brazil,-20.849,-41.113
112,"paranagua,parana,brazil",,paranagua,parana,brazil,-25.52,-48.509
113,"cascavel,parana,brazil",,cascavel,parana,brazil,-24.956,-53.455
114,"arica,arica y parinacota,chile",,arica,arica y parinacota,chile,-18.4746,-70.29792
115,"votuporanga,sao paulo,brazil",,votuporanga,sao paulo,brazil,-20.423,-49.973
116,"santos,sao paulo,brazil",,santos,sao paulo,brazil,-23.961,-46.334
117,"montevideo,montevideo,uruguay",,montevideo,montevideo,uruguay,-34.90328,-56.18816
118,"blumenau,santa catarina,brazil",,blumenau,santa catarina,brazil,-26.919,-49.066
119,"mar del plata,buenos aires,argentina",,mar del plata,buenos aires,argentina,-38.00228,-57.55754
120,"malta,paraiba,brazil",,malta,paraiba,brazil,-6.904,-37.522
121,"jundiai,sao paulo,brazil",,jundiai,sao paulo,brazil,-23.186,-46.884
122,"tucunduva,rio grande do sul,brazil",,tucunduva,rio grande do sul,brazil,-27.657,-54.44
123,"codo,maranhao,brazil",,codo,maranhao,brazil,-4.455,-43.886
124,"dourados,mato grosso do sul,brazil",,dourados,mato grosso do sul,brazil,-22.221,-54.806
125,"juiz de fora,minas gerais,brazil",,juiz de fora,minas gerais,brazil,-21.764,-43.35
126,"paranavai,parana,brazil",,paranavai,parana,brazil,-23.073,-52.465
127,"santa clara,villa clara,cuba",,santa clara,villa clara,cuba,22.4,-79.96667
128,"piracicaba,sao paulo,brazil",,piracicaba,sao paulo,brazil,-22.725,-47.649
129,"nova cruz,rio grande do norte,brazil",,nova cruz,rio grande do norte,brazil,-6.478,-35.434
130,"juazeiro,bahia,brazil",,juazeiro,bahia,brazil,-9.414,-40.503
131,"uberlandia,minas gerais,brazil",,uberlandia,minas gerais,brazil,-18.919,-48.277
132,"esperanca,paraiba,brazil",,esperanca,paraiba,brazil,-7.023,-35.86
133,"parnaiba,piaui,brazil",,parnaiba,piaui,brazil,-2.905,-41.777
134,"medellin,departamento de antioquia,colombia",,medellin,departamento de antioquia,colombia,6.25184,-75.56359
135,"caxias do sul,rio grande do sul,brazil",,caxias do sul,rio grande do sul,brazil,-29.168,-51.179
136,"ijui,rio grande do sul,brazil",,ijui,rio grande do sul,brazil,-28.388,-53.915
137,"passo fundo,rio grande do sul,brazil",,passo fundo,rio grande do sul,brazil,-28.263,-52.407
138,"sorocaba,sao paulo,brazil",,sorocaba,sao paulo,brazil,-23.502,-47.458
139,"leszno,greater poland voivodeship,poland",,leszno,greater poland voivodeship,poland,51.84034,16.57494
140,"sao caetano do sul,sao paulo,brazil",,sao caetano do sul,sao paulo,brazil,-23.623,-46.551
141,"assis,sao paulo,brazil",,assis,sao paulo,brazil,-22.662,-50.412
142,"camaragibe,pernambuco,brazil",,camaragibe,pernambuco,brazil,-8.022,-34.981
143,"jacarezinho,parana,brazil",,jacarezinho,parana,brazil,-23.161,-49.969
144,"palmital,sao paulo,brazil",,palmital,sao paulo,brazil,-22.789,-50.218
145,"joao alfredo,pernambuco,brazil",,joao alfredo,pernambuco,brazil,-7.856,-35.588
146,"santa cruz do rio pardo,sao paulo,brazil",,santa cruz do rio pardo,sao paulo,brazil,-22.899,-49.633
147,"joinville,santa catarina,brazil",,joinville,santa catarina,brazil,-26.304,-48.846
148,"presidente bernardes,sao paulo,brazil",,presidente bernardes,sao paulo,brazil,-22.006,-51.553
149,"campo grande,mato grosso do sul,brazil",,campo grande,mato grosso do sul,brazil,-20.443,-54.646
150,"lages,santa catarina,brazil",,lages,santa catarina,brazil,-27.816,-50.326
151,"agua santa,rio grande do sul,brazil",,agua santa,rio grande do sul,brazil,-28.177,-52.034
152,"senhor do bonfim,bahia,brazil",,senhor do bonfim,bahia,brazil,-10.463,-40.191
153,"sao jose do rio preto,sao paulo,brazil",,sao jose do rio preto,sao paulo,brazil,-20.82,-49.379
154,"frederico westphalen,rio grande do sul,brazil",,frederico westphalen,rio grande do sul,brazil,-27.359,-53.394
155,"rio claro,sao paulo,brazil",,rio claro,sao paulo,brazil,-22.411,-47.561
156,"santiago,rio grande do sul,brazil",,santiago,rio grande do sul,brazil,-29.192,-54.867
157,"bacabal,maranhao,brazil",,bacabal,maranhao,brazil,-4.225,-44.78
158,"ubajara,ceara,brazil",,ubajara,ceara,brazil,-3.854,-40.921
159,"rio do sul,santa catarina,brazil",,rio do sul,santa catarina,brazil,-27.214,-49.643
160,"barra mansa,rio de janeiro,brazil",,barra mansa,rio de janeiro,brazil,-22.544,-44.171
161,"sao joao del rei,minas gerais,brazil",,sao joao del rei,minas gerais,brazil,-21.136,-44.262
162,"uruguaiana,rio grande do sul,brazil",,uruguaiana,rio grande do sul,brazil,-29.755,-57.088
163,"terezinha,pernambuco,brazil",,terezinha,pernambuco,brazil,-9.056,-36.623
164,"cangucu,rio grande do sul,brazil",,cangucu,rio grande do sul,brazil,-31.395,-52.676
165,"barretos,sao paulo,brazil",,barretos,sao paulo,brazil,-20.557,-48.568
166,"madrid,madrid,spain",,madrid,madrid,spain,40.4165,-3.70256
167,"aracatuba,sao paulo,brazil",,aracatuba,sao paulo,brazil,-21.209,-50.433
168,"floriano,piaui,brazil",,floriano,piaui,brazil,-6.767,-43.023
169,"santana do livramento,rio grande do sul,brazil",,santana do livramento,rio grande do sul,brazil,-30.891,-55.533
170,"porteirinha,minas gerais,brazil",,porteirinha,minas gerais,brazil,-15.743,-43.028
171,"lajeado,rio grande do sul,brazil",,lajeado,rio grande do sul,brazil,-29.467,-51.961
172,"birigui,sao paulo,brazil",,birigui,sao paulo,brazil,-21.289,-50.34
173,"ipatinga,minas gerais,brazil",,ipatinga,minas gerais,brazil,-19.468,-42.537
174,"ibitinga,sao paulo,brazil",,ibitinga,sao paulo,brazil,-21.758,-48.829
175,"barbacena,minas gerais,brazil",,barbacena,minas gerais,brazil,-21.226,-43.774
176,"budapest,budapest,hungary",,budapest,budapest,hungary,47.49801,19.03991
177,"formiga,minas gerais,brazil",,formiga,minas gerais,brazil,-20.464,-45.426
178,"luanda,luanda,angola",,luanda,luanda,angola,-8.83682,13.23432
179,"quixada,ceara,brazil",,quixada,ceara,brazil,-4.971,-39.015
180,"cajazeiras,paraiba,brazil",,cajazeiras,paraiba,brazil,-6.89,-38.562
181,"guarabira,paraiba,brazil",,guarabira,paraiba,brazil,-6.855,-35.49
182,"braganca paulista,sao paulo,brazil",,braganca paulista,sao paulo,brazil,-22.952,-46.542
183,"campo formoso,bahia,brazil",,campo formoso,bahia,brazil,-10.509,-40.321
184,"itanhomi,minas gerais,brazil",,itanhomi,minas gerais,brazil,-19.172,-41.865
185,"ipiau,bahia,brazil",,ipiau,bahia,brazil,-14.137,-39.734
186,"taua,ceara,brazil",,taua,ceara,brazil,-6.003,-40.293
187,"coroata,maranhao,brazil",,coroata,maranhao,brazil,-4.13,-44.124
188,"osasco,sao paulo,brazil",,osasco,sao paulo,brazil,-23.533,-46.792
189,"santos dumont,minas gerais,brazil",,santos dumont,minas gerais,brazil,-21.457,-43.553
190,"concepcion,biobío,chile",,concepcion,biobío,chile,-36.82699,-73.04977
191,"pires do rio,goias,brazil",,pires do rio,goias,brazil,-17.301,-48.28
192,"ituiutaba,minas gerais,brazil",,ituiutaba,minas gerais,brazil,-18.969,-49.465
193,"itabuna,bahia,brazil",,itabuna,bahia,brazil,-14.786,-39.28
194,"barreiras,bahia,brazil",,barreiras,bahia,brazil,-12.153,-44.99
195,"bage,rio grande do sul,brazil",,bage,rio grande do sul,brazil,-31.331,-54.107
196,"senador firmino,minas gerais,brazil",,senador firmino,minas gerais,brazil,-20.912,-43.097
197,"itapetinga,bahia,brazil",,itapetinga,bahia,brazil,-15.249,-40.248
198,"serra branca,paraiba,brazil",,serra branca,paraiba,brazil,-7.483,-36.665
199,"colatina,espirito santo,brazil",,colatina,espirito santo,brazil,-19.539,-40.631
200,"tegucigalpa,francisco morazán,honduras",,tegucigalpa,francisco morazán,honduras,14.0818,-87.20681
201,"duque de caxias,rio de janeiro,brazil",,duque de caxias,rio de janeiro,brazil,-22.786,-43.312
202,"tehran,tehrān,iran",,tehran,tehrān,iran,35.69439,51.42151
203,"picui,paraiba,brazil",,picui,paraiba,brazil,-6.555,-36.349
204,"muriae,minas gerais,brazil",,muriae,minas gerais,brazil,-21.131,-42.366
205,"leopoldina,minas gerais,brazil",,leopoldina,minas gerais,brazil,-21.532,-42.643
206,"pedra,pernambuco,brazil",,pedra,pernambuco,brazil,-8.497,-36.941
207,"alagoa grande,paraiba,brazil",,alagoa grande,paraiba,brazil,-7.089,-35.635
208,"penapolis,sao paulo,brazil",,penapolis,sao paulo,brazil,-21.42,-50.078
209,"januaria,minas gerais,brazil",,januaria,minas gerais,brazil,-15.488,-44.362
210,"santa rita,paraiba,brazil",,santa rita,paraiba,brazil,-7.114,-34.978
211,"uniao da vitoria,parana,brazil",,uniao da vitoria,parana,brazil,-26.23,-51.086
212,"volta redonda,rio de janeiro,brazil",,volta redonda,rio de janeiro,brazil,-22.523,-44.104
213,"princesa isabel,paraiba,brazil",,princesa isabel,paraiba,brazil,-7.737,-37.993
214,"assis chateaubriand,parana,brazil",,assis chateaubriand,parana,brazil,-24.42,-53.521
215,"sao vicente ferrer,pernambuco,brazil",,sao vicente ferrer,pernambuco,brazil,-7.591,-35.491
216,"sao miguel dos campos,alagoas,brazil",,sao miguel dos campos,alagoas,brazil,-9.781,-36.094
217,"bento goncalves,rio grande do sul,brazil",,bento goncalves,rio grande do sul,brazil,-29.171,-51.519
218,"pirassununga,sao paulo,brazil",,pirassununga,sao paulo,brazil,-21.996,-47.426
